Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
mRNA processing	11	2.1825396825396823	0.07286755634102982	HSPA8, KHDRBS1, NUDT21, SNRPD1, NONO, HNRNPA2B1, HNRNPR, SRSF4, TTF2, LSM3, ZFP36L1	483	238	19453	1.861466325660699	1.0	0.6650708320278738	0.6354297921603363
aging	8	1.5873015873015872	0.07354821968401962	MT-ATP6, MT-CO1, NPY, UCP2, NUDT1, TIMP1, TYMS, AURKB	483	147	19453	2.191856452726018	1.0	0.6675412607045981	0.6377901181662315
regulation of gene expression	12	2.380952380952381	0.07375804087636692	TCF19, CDK4, CDK2, TMEM107, HNRNPD, PIN1, HMG20B, PHGDH, RBBP7, CRIP1, HNRNPAB, ZFP36L1	483	270	19453	1.7900161030595811	1.0	0.6675412607045981	0.6377901181662315
negative regulation of apoptotic process	20	3.968253968253968	0.07848785322104382	BARD1, CDKN1A, ARL6IP1, MGMT, PLK1, PA2G4, PTMS, AURKA, DNAJA1, PRDX3, PIDD1, DDAH2, UCP2, PIM1, CDK1, BIRC5, TIMP1, PSMG2, PTMA, MAD2L1	483	540	19453	1.4916800858829844	1.0	0.7073758821679011	0.6758493804556828
oxidative phosphorylation	3	0.5952380952380952	0.0794012463089532	MT-CO1, UQCRC1, UQCRH	483	19	19453	6.359267734553776	1.0	0.7096692304957892	0.6780405182731356
mitotic G2/M transition checkpoint	3	0.5952380952380952	0.0794012463089532	BARD1, CHEK1, BRCA1	483	19	19453	6.359267734553776	1.0	0.7096692304957892	0.6780405182731356
positive regulation of protein serine/threonine kinase activity	4	0.7936507936507936	0.08071843840662406	PIM1, CALM3, CALM2, EZH2	483	41	19453	3.929303640862496	1.0	0.7145497247219158	0.6827034974362595
response to ionizing radiation	4	0.7936507936507936	0.08071843840662406	RRM1, RFWD3, RAD54L, BRCA1	483	41	19453	3.929303640862496	1.0	0.7145497247219158	0.6827034974362595
response to organic cyclic compound	5	0.992063492063492	0.08097835579299181	VKORC1, DUT, PSMB2, EIF4A3, CDK1	483	66	19453	3.0511638120333773	1.0	0.7145497247219158	0.6827034974362595
mRNA transport	6	1.1904761904761905	0.08127422588526897	SLBP, HNRNPA3, HNRNPA2B1, EIF4A3, MAGOHB, ZFP36L1	483	93	19453	2.598410472183263	1.0	0.7145497247219158	0.6827034974362595
regulation of apoptotic process	11	2.1825396825396823	0.08448674083429916	BCL2L12, ING2, HSP90AA1, ANP32A, ACTL6A, ANP32E, BIRC5, PTPN6, YEATS4, ANP32B, ACTB	483	245	19453	1.8082815734989646	1.0	0.7397741453539853	0.7068037099064539
regulation of signal transduction by p53 class mediator	4	0.7936507936507936	0.08540215079757649	CHEK2, CHEK1, AURKB, AURKA	483	42	19453	3.8357487922705316	1.0	0.7447620761861529	0.7115693374146252
protein phosphorylation	17	3.373015873015873	0.08631967861278561	PLK1, ILK, VRK1, PKMYT1, AURKB, CDC25B, AURKA, MELK, CDK4, CHEK2, CSNK2B, CHEK1, CDK2, PIM1, CDK1, BIRC5, NEK2	483	444	19453	1.5420746833790313	1.0	0.7480774328833679	0.7147369344818808
positive regulation of cyclin-dependent protein serine/threonine kinase activity	3	0.5952380952380952	0.08682421458720613	PSRC1, PIM1, CDC6	483	20	19453	6.041304347826086	1.0	0.7480774328833679	0.7147369344818808
canonical glycolysis	3	0.5952380952380952	0.08682421458720613	PKM, TPI1, PGAM1	483	20	19453	6.041304347826086	1.0	0.7480774328833679	0.7147369344818808
peptidyl-serine phosphorylation	9	1.7857142857142856	0.08793785043320931	CHEK2, PLK1, CDK2, PBK, CDK1, ILK, VRK1, CLSPN, AURKA	483	184	19453	1.969990548204159	1.0	0.7546539037176607	0.7210203035519712
positive regulation of gene expression, epigenetic	4	0.7936507936507936	0.09019869117305962	SMARCB1, CDCA4, CHEK1, ASH2L	483	43	19453	3.7465453319851703	1.0	0.7618350095366826	0.7278813600865797
cortical cytoskeleton organization	3	0.5952380952380952	0.09444486626228679	WDR1, RAC2, RAC1	483	21	19453	5.753623188405797	1.0	0.7618350095366826	0.7278813600865797
negative regulation of stem cell population maintenance	3	0.5952380952380952	0.09444486626228679	ING2, ZNF706, RBBP7	483	21	19453	5.753623188405797	1.0	0.7618350095366826	0.7278813600865797
regulation of release of sequestered calcium ion into cytosol by sarcoplasmic reticulum	3	0.5952380952380952	0.09444486626228679	GSTO1, CALM3, CALM2	483	21	19453	5.753623188405797	1.0	0.7618350095366826	0.7278813600865797
regulation of mRNA splicing, via spliceosome	3	0.5952380952380952	0.09444486626228679	KHDRBS1, SRSF3, SRSF10	483	21	19453	5.753623188405797	1.0	0.7618350095366826	0.7278813600865797
negative regulation of protein ADP-ribosylation	2	0.3968253968253968	0.09549463907841425	XRCC1, BANF1	483	4	19453	20.13768115942029	1.0	0.7618350095366826	0.7278813600865797
positive regulation of mitochondrial ATP synthesis coupled electron transport	2	0.3968253968253968	0.09549463907841425	CCNB1, CDK1	483	4	19453	20.13768115942029	1.0	0.7618350095366826	0.7278813600865797
dTMP biosynthetic process	2	0.3968253968253968	0.09549463907841425	DUT, TYMS	483	4	19453	20.13768115942029	1.0	0.7618350095366826	0.7278813600865797
negative regulation of CD4-positive, alpha-beta T cell differentiation	2	0.3968253968253968	0.09549463907841425	CBFB, HMGB1	483	4	19453	20.13768115942029	1.0	0.7618350095366826	0.7278813600865797
release from viral latency	2	0.3968253968253968	0.09549463907841425	JUN, NUCKS1	483	4	19453	20.13768115942029	1.0	0.7618350095366826	0.7278813600865797
DNA replication, removal of RNA primer	2	0.3968253968253968	0.09549463907841425	FEN1, RNASEH2A	483	4	19453	20.13768115942029	1.0	0.7618350095366826	0.7278813600865797
cellular response to bisphenol A	2	0.3968253968253968	0.09549463907841425	DNMT1, CHEK2	483	4	19453	20.13768115942029	1.0	0.7618350095366826	0.7278813600865797
positive regulation of protein localization to kinetochore	2	0.3968253968253968	0.09549463907841425	CDT1, NDC80	483	4	19453	20.13768115942029	1.0	0.7618350095366826	0.7278813600865797
positive regulation of DNA ligation	2	0.3968253968253968	0.09549463907841425	RAD51, HMGB1	483	4	19453	20.13768115942029	1.0	0.7618350095366826	0.7278813600865797
response to organophosphorus	2	0.3968253968253968	0.09549463907841425	RFC3, TYMS	483	4	19453	20.13768115942029	1.0	0.7618350095366826	0.7278813600865797
establishment or maintenance of microtubule cytoskeleton polarity	2	0.3968253968253968	0.09549463907841425	KIF2C, CKAP5	483	4	19453	20.13768115942029	1.0	0.7618350095366826	0.7278813600865797
negative regulation of viral life cycle	2	0.3968253968253968	0.09549463907841425	CSNK2B, PPIA	483	4	19453	20.13768115942029	1.0	0.7618350095366826	0.7278813600865797
mitotic chromosome movement towards spindle pole	2	0.3968253968253968	0.09549463907841425	CENPE, DLGAP5	483	4	19453	20.13768115942029	1.0	0.7618350095366826	0.7278813600865797
dTTP biosynthetic process	2	0.3968253968253968	0.09549463907841425	DTYMK, TYMS	483	4	19453	20.13768115942029	1.0	0.7618350095366826	0.7278813600865797
